,K:  -8,K:  -7,K:  -6,K:  -5,K:  -4,K:  -3,K:  -2,K:  -1,K:  0,K:  1,K:  2,K:  3,K:  4,K:  5,K:  6,K:  7,K:  8
"Acc Degree 1, 1234 -> 5",37.799,37.799,37.799,67.1451,67.1451,67.1451,67.3046,68.2616,70.4944,74.6411,75.4386,75.7576,75.7576,75.7576,75.5981,75.7576,75.7576
"Acc Degree 1, 1235 -> 4",39.8724,39.8724,39.8724,72.2488,71.1324,71.7703,76.0766,75.5981,77.512,78.6284,79.7448,79.4258,80.3828,80.5423,80.5423,80.2233,80.5423
"Acc Degree 1, 1245 -> 3",41.853,41.853,41.853,71.0863,71.0863,71.0863,72.0447,73.4824,75.2396,76.1981,75.5591,74.4409,74.6006,74.2812,74.7604,74.7604,74.6006
"Acc Degree 1, 1345 -> 2",37.6396,37.6396,37.6396,68.4211,68.4211,68.4211,70.0159,70.9729,74.0032,77.193,79.5853,81.3397,82.1372,82.9346,82.7751,82.7751,82.7751
"Acc Degree 1, 2345 -> 1",32.4281,32.4281,32.4281,77.476,73.1629,76.5176,78.754,78.115,75.7188,74.1214,71.5655,71.0863,71.246,70.9265,70.7668,70.7668,70.9265
"Acc Degree 2, 1234 -> 5",37.799,37.799,37.799,65.8692,67.1451,67.3046,67.4641,67.9426,68.4211,71.2919,74.1627,75.9171,76.236,77.512,77.3525,77.6715,77.512
"Acc Degree 2, 1235 -> 4",39.8724,39.8724,39.8724,59.9681,70.9729,71.7703,74.8006,74.9601,76.874,77.0335,79.4258,80.7018,81.8182,81.9777,82.2967,82.2967,82.9346
"Acc Degree 2, 1245 -> 3",41.853,41.853,41.853,68.6901,71.4058,71.246,72.0447,73.4824,73.6422,74.6006,75.2396,75.5591,74.9201,75.7188,75.5591,75.2396,74.7604
"Acc Degree 2, 1345 -> 2",37.6396,37.6396,37.6396,67.4641,68.5805,68.8995,70.3349,70.8134,72.5678,74.6411,77.9904,81.1802,83.2536,83.7321,83.4131,83.5726,83.5726
"Acc Degree 2, 2345 -> 1",32.4281,32.4281,32.4281,32.4281,72.2045,75.0799,77.7955,78.2748,78.9137,75.3994,73.6422,73.3227,73.3227,73.6422,73.3227,71.4058,69.6486
"Acc Degree 3, 1234 -> 5",37.799,37.799,37.799,44.9761,66.9856,67.3046,67.1451,67.6236,68.2616,69.2185,72.5678,74.8006,76.874,77.3525,77.6715,77.193,76.874
"Acc Degree 3, 1235 -> 4",39.8724,39.8724,39.8724,39.8724,72.5678,72.5678,74.4817,74.8006,75.1196,77.6715,78.6284,80.3828,81.1802,82.6156,81.4992,81.1802,81.3397
"Acc Degree 3, 1245 -> 3",41.853,41.853,41.853,46.3259,71.7252,72.3642,72.0447,73.3227,72.3642,74.1214,75.8786,76.5176,76.5176,75.5591,75.8786,75.2396,74.9201
"Acc Degree 3, 1345 -> 2",37.6396,37.6396,37.6396,45.933,68.8995,69.2185,70.4944,71.1324,70.9729,72.7273,75.5981,80.2233,80.8612,81.9777,81.9777,81.8182,82.1372
"Acc Degree 3, 2345 -> 1",32.4281,32.4281,32.4281,32.4281,72.3642,74.2812,77.476,77.6358,79.393,76.0383,73.9617,73.4824,74.1214,73.8019,75.0799,74.7604,74.7604
"Acc Degree 4, 1234 -> 5",37.799,37.799,37.799,39.2344,62.3604,66.9856,67.3046,67.4641,67.9426,68.5805,71.7703,73.2057,76.0766,76.3955,77.512,76.7145,76.874
"Acc Degree 4, 1235 -> 4",39.8724,39.8724,39.8724,39.8724,73.2057,74.0032,74.6411,75.7576,75.4386,77.512,77.193,80.3828,81.1802,82.1372,81.4992,81.6587,81.8182
"Acc Degree 4, 1245 -> 3",41.853,41.853,41.853,42.6518,61.5016,70.4473,71.5655,72.6837,72.8435,73.8019,74.9201,76.5176,76.3578,75.3994,75.2396,75.3994,75.3994
"Acc Degree 4, 1345 -> 2",37.6396,37.6396,37.6396,38.437,66.6667,69.059,70.3349,70.8134,70.6539,71.2919,74.9601,77.8309,79.7448,81.3397,81.0207,81.1802,80.8612
"Acc Degree 4, 2345 -> 1",32.4281,32.4281,32.4281,32.4281,67.4121,73.9617,77.6358,77.6358,79.0735,77.7955,75.3994,73.1629,75.0799,74.7604,74.44%,75.3994,75.3994
"Acc Degree 5, 1234 -> 5",37.799,37.799,37.799,37.799,54.7049,65.3907,66.9856,67.3046,67.6236,68.74,70.4944,72.7273,74.9601,75.9171,76.874,77.0335,77.0335
"Acc Degree 5, 1235 -> 4",39.8724,39.8724,39.8724,39.8724,40.0319,74.4817,75.2791,76.0766,76.236,77.512,77.6715,79.7448,81.0207,82.2967,81.4992,81.1802,81.0207
"Acc Degree 5, 1245 -> 3",41.853,41.853,41.853,42.0128,53.5144,64.6965,70.607,71.4058,72.6837,73.1629,74.4409,76.3578,76.3578,75.3994,75.3994,74.7604,75.3994
" Acc Degree 5, 1345 -> 2",37.6396,37.6396,37.6396,37.6396,59.1707,68.74,70.6539,70.8134,70.9729,70.9729,73.3652,75.5981,79.2663,80.3828,80.7018,80.5423,80.3828
"Acc Degree 5, 2345 -> 1",32.4281,32.4281,32.4281,32.4281,32.4281,75.0799,77.6358,77.9553,78.2748,79.393,75.8786,73.6422,74.2812,74.2812,74.4409,75.2396,75.5591
