1 0:0.42 1:0.305 2:0.09 3:0.328 4:0.168 5:0.0615 6:0.082 8:1
1 0:0.425 1:0.325 2:0.11 3:0.3335 4:0.173 5:0.045 6:0.1 8:1
1 0:0.425 1:0.32 2:0.1 3:0.3055 4:0.126 5:0.06 6:0.106 8:1
1 0:0.425 1:0.31 2:0.09 3:0.301 4:0.1385 5:0.065 6:0.08 8:1
1 0:0.43 1:0.34 3:0.428 4:0.2065 5:0.08599999999999999 6:0.115 8:1
1 0:0.43 1:0.315 2:0.095 3:0.378 4:0.175 5:0.08 6:0.1045 8:1
1 0:0.435 1:0.315 2:0.11 3:0.3685 4:0.1615 5:0.07149999999999999 6:0.12 8:1
1 0:0.44 1:0.34 2:0.12 3:0.438 4:0.2115 5:0.083 6:0.12 8:1
1 0:0.45 1:0.33 2:0.105 3:0.448 4:0.208 5:0.089 6:0.12 8:1
1 0:0.455 1:0.345 2:0.105 3:0.4005 4:0.164 5:0.0755 6:0.126 8:1
1 0:0.455 1:0.365 2:0.115 3:0.4305 4:0.184 5:0.108 6:0.1245 7:1
1 0:0.455 1:0.33 2:0.1 3:0.372 4:0.358 5:0.0775 6:0.11 8:1
1 0:0.46 1:0.36 2:0.105 3:0.466 4:0.2225 5:0.099 6:0.11 8:1
1 0:0.46 1:0.35 2:0.105 3:0.3705 4:0.1575 5:0.077 6:0.114 8:1
1 0:0.46 1:0.365 2:0.125 3:0.4785 4:0.206 5:0.1045 6:0.141 7:1
0 0:0.465 1:0.34 2:0.11 3:0.346 4:0.1425 5:0.073 6:0.113 8:1
1 0:0.47 1:0.365 2:0.1 3:0.411 4:0.175 5:0.08550000000000001 6:0.135 8:1
1 0:0.47 1:0.355 2:0.18 3:0.48 4:0.2055 5:0.105 6:0.1505 8:1
1 0:0.47 1:0.355 2:0.12 3:0.393 4:0.167 5:0.0885 6:0.115 8:1
1 0:0.475 1:0.355 2:0.1 3:0.5034999999999999 4:0.2535 5:0.091 6:0.14 8:1
1 0:0.475 1:0.38 2:0.12 3:0.441 4:0.1785 5:0.0885 6:0.1505 8:1
1 0:0.475 1:0.36 2:0.11 3:0.492 4:0.211 5:0.11 6:0.15 8:1
1 0:0.48 1:0.37 2:0.125 3:0.5435 4:0.244 5:0.101 6:0.165 8:1
1 0:0.48 1:0.355 2:0.115 3:0.4725 4:0.2065 5:0.112 6:0.132 8:1
1 0:0.48 1:0.365 2:0.1 3:0.461 4:0.2205 5:0.0835 6:0.135 8:1
1 0:0.495 1:0.355 2:0.12 3:0.4965 4:0.214 5:0.1045 6:0.1495 8:1
1 0:0.495 1:0.38 2:0.13 3:0.5125 4:0.2185 5:0.116 6:0.16 8:1
1 0:0.495 1:0.395 2:0.12 3:0.553 4:0.224 5:0.1375 6:0.167 9:1
1 0:0.5 1:0.38 2:0.135 3:0.594 4:0.2945 5:0.104 6:0.1565 8:1
1 0:0.5 1:0.42 2:0.135 3:0.6765 4:0.302 5:0.1415 6:0.2065 9:1
1 0:0.5 1:0.375 2:0.145 3:0.5795 4:0.239 5:0.1375 6:0.185 8:1
1 0:0.5 1:0.41 2:0.14 3:0.6615 4:0.2585 5:0.1625 6:0.196 8:1
1 0:0.5 1:0.375 2:0.125 3:0.5695 4:0.259 5:0.124 6:0.157 8:1
1 0:0.5 1:0.395 2:0.14 3:0.6215000000000001 4:0.2925 5:0.1205 6:0.195 8:1
1 0:0.505 1:0.405 2:0.13 3:0.6015 4:0.3015 5:0.11 6:0.18 8:1
1 0:0.505 1:0.38 2:0.12 3:0.594 4:0.2595 5:0.1435 6:0.18 8:1
1 0:0.505 1:0.395 2:0.105 3:0.551 4:0.248 5:0.103 6:0.171 8:1
1 0:0.515 1:0.38 2:0.12 3:0.625 4:0.3265 5:0.1295 6:0.16 8:1
0 0:0.515 1:0.42 2:0.135 3:0.711 4:0.337 5:0.144 6:0.205 8:1
1 0:0.515 1:0.4 2:0.135 3:0.6965 4:0.32 5:0.1255 6:0.175 8:1
0 0:0.52 1:0.4 2:0.13 3:0.5825 4:0.233 5:0.1365 6:0.18 8:1
1 0:0.52 1:0.395 2:0.125 3:0.663 4:0.3005 5:0.131 6:0.1905 8:1
1 0:0.525 1:0.4 2:0.125 3:0.6965 4:0.369 5:0.1385 6:0.164 8:1
1 0:0.525 1:0.42 2:0.155 3:0.842 4:0.428 5:0.1415 6:0.2045 9:1
1 0:0.53 1:0.415 2:0.13 3:0.694 4:0.3905 5:0.111 6:0.167 8:1
0 0:0.53 1:0.42 2:0.155 3:0.8100000000000001 4:0.4725 5:0.111 6:0.192 8:1
1 0:0.53 1:0.415 2:0.11 3:0.5745 4:0.2525 5:0.1235 6:0.189 8:1
1 0:0.53 1:0.425 2:0.13 3:0.7675 4:0.419 5:0.1205 6:0.21 8:1
1 0:0.535 1:0.4 2:0.135 3:0.6025 4:0.2895 5:0.121 6:0.154 8:1
1 0:0.535 1:0.415 2:0.15 3:0.5765 4:0.3595 5:0.135 6:0.225 8:1
1 0:0.535 1:0.41 2:0.13 3:0.7145 4:0.335 5:0.144 6:0.2075 7:1
1 0:0.535 1:0.435 2:0.15 3:0.717 4:0.3475 5:0.1445 6:0.194 9:1
0 0:0.54 1:0.42 2:0.145 3:0.8655 4:0.4315 5:0.163 6:0.2175 7:1
1 0:0.54 1:0.42 2:0.14 3:0.7265 4:0.3205 5:0.1445 6:0.229 8:1
1 0:0.545 1:0.435 2:0.135 3:0.7715 4:0.372 5:0.148 6:0.227 8:1
1 0:0.545 1:0.445 2:0.15 3:0.8 4:0.3535 5:0.163 6:0.207 7:1
0 0:0.545 1:0.43 2:0.15 3:0.7285 4:0.302 5:0.1315 6:0.2545 8:1
1 0:0.545 1:0.405 2:0.135 3:0.5945 4:0.27 5:0.1185 6:0.185 8:1
0 0:0.55 1:0.43 2:0.145 3:0.7895 4:0.3745 5:0.171 6:0.223 8:1
1 0:0.55 1:0.405 2:0.125 3:0.651 4:0.2965 5:0.137 6:0.2 7:1
1 0:0.55 1:0.43 2:0.15 3:0.8745000000000001 4:0.413 5:0.1905 6:0.248 9:1
0 0:0.55 1:0.435 2:0.14 3:0.7534999999999999 4:0.3285 5:0.1555 6:0.2325 8:1
1 0:0.55 1:0.425 2:0.135 3:0.7305 4:0.3325 5:0.1545 6:0.215 8:1
1 0:0.555 1:0.44 2:0.14 3:0.8705000000000001 4:0.407 5:0.156 6:0.255 9:1
0 0:0.555 1:0.43 2:0.155 3:0.7395 4:0.3135 5:0.1435 6:0.28 8:1
1 0:0.555 1:0.43 2:0.14 3:0.7665 4:0.341 5:0.165 6:0.23 8:1
1 0:0.555 1:0.425 2:0.145 3:0.7905 4:0.3485 5:0.1765 6:0.225 8:1
1 0:0.5600000000000001 1:0.425 2:0.135 3:0.8205 4:0.3715 5:0.185 6:0.236 8:1
1 0:0.5600000000000001 1:0.425 2:0.145 3:0.6879999999999999 4:0.3095 5:0.1305 6:0.2165 8:1
0 0:0.5600000000000001 1:0.445 2:0.155 3:1.224 4:0.5565 5:0.3225 6:0.2695 7:1
1 0:0.5600000000000001 1:0.455 2:0.145 3:0.974 4:0.547 5:0.1615 6:0.235 8:1
0 0:0.5649999999999999 1:0.44 2:0.175 3:0.8735000000000001 4:0.414 5:0.21 6:0.21 8:1
1 0:0.5649999999999999 1:0.45 2:0.145 3:0.8495 4:0.4215 5:0.1685 6:0.225 7:1
1 0:0.5649999999999999 1:0.445 2:0.15 3:0.796 4:0.3635 5:0.184 6:0.219 9:1
0 0:0.5649999999999999 1:0.39 2:0.125 3:0.744 4:0.352 5:0.13 6:0.1685 9:1
0 0:0.57 1:0.45 2:0.145 3:0.751 4:0.2825 5:0.2195 6:0.2215 8:1
1 0:0.57 1:0.45 2:0.135 3:0.794 4:0.3815 5:0.1415 6:0.245 8:1
1 0:0.57 1:0.46 2:0.135 3:0.9795 4:0.397 5:0.2525 6:0.2655 7:1
0 0:0.57 1:0.435 2:0.17 3:0.873 4:0.382 5:0.183 6:0.2705 9:1
0 0:0.57 1:0.44 2:0.13 3:0.7665 4:0.347 5:0.1785 6:0.202 8:1
1 0:0.57 1:0.435 2:0.125 3:0.8965 4:0.383 5:0.1835 6:0.275 9:1
0 0:0.575 1:0.42 2:0.135 3:0.857 4:0.461 5:0.147 6:0.2125 7:1
1 0:0.575 1:0.48 2:0.165 3:1.078 4:0.511 5:0.2095 6:0.306 7:1
0 0:0.575 1:0.46 2:0.155 3:0.892 4:0.4415 5:0.176 6:0.22 9:1
0 0:0.58 1:0.46 2:0.155 3:1.4395 4:0.6715 5:0.273 6:0.2955 9:1
0 0:0.58 1:0.455 2:0.135 3:0.7955 4:0.405 5:0.167 6:0.204 9:1
1 0:0.58 1:0.445 2:0.15 3:0.858 4:0.4 5:0.156 6:0.253 7:1
1 0:0.585 1:0.465 2:0.155 3:0.9145 4:0.4555 5:0.1965 6:0.235 9:1
0 0:0.585 1:0.49 2:0.185 3:1.171 4:0.522 5:0.2535 6:0.335 9:1
0 0:0.585 1:0.475 2:0.16 3:1.0505 4:0.48 5:0.234 6:0.285 8:1
0 0:0.585 1:0.46 2:0.165 3:1.1135 4:0.5825 5:0.2345 6:0.274 9:1
0 0:0.585 1:0.47 2:0.165 3:1.409 4:0.8 5:0.229 6:0.295 9:1
0 0:0.585 1:0.475 2:0.15 3:1.065 4:0.5315 5:0.199 6:0.2885 9:1
1 0:0.585 1:0.45 2:0.18 3:0.7995 4:0.336 5:0.1855 6:0.237 9:1
1 0:0.59 1:0.445 2:0.135 3:0.7715 4:0.328 5:0.1745 6:0.23 8:1
1 0:0.59 1:0.47 2:0.18 3:1.187 4:0.5985 5:0.227 6:0.31 9:1
0 0:0.59 1:0.455 2:0.155 3:0.8855 4:0.388 5:0.188 6:0.275 9:1
0 0:0.595 1:0.465 2:0.15 3:0.98 4:0.4115 5:0.196 6:0.2255 7:1
0 0:0.595 1:0.465 2:0.155 3:1.026 4:0.4645 5:0.112 6:0.305 7:1
0 0:0.6 1:0.475 2:0.17 3:1.1315 4:0.508 5:0.272 6:0.309 9:1
0 0:0.6 1:0.48 2:0.155 3:1.014 4:0.451 5:0.1885 6:0.325 9:1
0 0:0.6 1:0.475 2:0.15 3:1.12 4:0.5649999999999999 5:0.2465 6:0.27 8:1
0 0:0.6 1:0.465 2:0.155 3:1.04 4:0.4755 5:0.25 6:0.28 7:1
0 0:0.6 1:0.455 2:0.145 3:0.8895 4:0.419 5:0.1715 6:0.269 7:1
0 0:0.6 1:0.46 2:0.155 3:0.9595 4:0.4455 5:0.189 6:0.295 9:1
0 0:0.605 1:0.485 2:0.15 3:1.238 4:0.6315 5:0.226 6:0.33 8:1
0 0:0.605 1:0.49 2:0.14 3:0.9755 4:0.419 5:0.206 6:0.315 9:1
0 0:0.605 1:0.435 2:0.13 3:0.9025 4:0.432 5:0.174 6:0.26 8:1
1 0:0.605 1:0.475 2:0.175 3:1.076 4:0.463 5:0.2195 6:0.335 7:1
0 0:0.605 1:0.47 2:0.16 3:1.0835 4:0.5405 5:0.2215 6:0.275 7:1
0 0:0.61 1:0.45 2:0.15 3:0.871 4:0.407 5:0.1835 6:0.25 9:1
0 0:0.61 1:0.48 2:0.165 3:1.244 4:0.6345 5:0.257 6:0.305 9:1
0 0:0.61 1:0.475 2:0.17 3:1.0265 4:0.435 5:0.2335 6:0.3035 9:1
1 0:0.61 1:0.465 2:0.15 3:0.9605 4:0.4495 5:0.1725 6:0.286 8:1
0 0:0.61 1:0.48 2:0.17 3:1.137 4:0.4565 5:0.29 6:0.347 9:1
0 0:0.61 1:0.46 2:0.16 3:1 4:0.494 5:0.197 6:0.275 9:1
0 0:0.615 1:0.475 2:0.155 3:1.004 4:0.4475 5:0.193 6:0.2895 7:1
0 0:0.615 1:0.47 2:0.165 3:1.128 4:0.4465 5:0.2195 6:0.34 9:1
0 0:0.615 1:0.5 2:0.17 3:1.054 4:0.4845 5:0.228 6:0.295 9:1
0 0:0.615 1:0.475 2:0.165 3:1.023 4:0.4905 5:0.1955 6:0.3035 7:1
0 0:0.615 1:0.475 2:0.17 3:1.129 4:0.4795 5:0.302 6:0.3 9:1
1 0:0.615 1:0.48 2:0.175 3:1.118 4:0.446 5:0.3195 6:0.3 9:1
0 0:0.615 1:0.475 2:0.155 3:1.115 4:0.484 5:0.2115 6:0.355 7:1
0 0:0.62 1:0.51 2:0.175 3:1.2815 4:0.5715 5:0.2385 6:0.39 9:1
0 0:0.62 1:0.495 2:0.18 3:1.2555 4:0.5765 5:0.254 6:0.355 9:1
0 0:0.62 1:0.5 2:0.15 3:1.293 4:0.596 5:0.3135 6:0.354 7:1
0 0:0.62 1:0.475 2:0.16 3:1.1295 4:0.463 5:0.2685 6:0.33 7:1
1 0:0.625 1:0.455 2:0.17 3:1.082 4:0.4955 5:0.2345 6:0.315 9:1
0 0:0.625 1:0.505 2:0.175 3:1.15 4:0.5475 5:0.256 6:0.3045 7:1
1 0:0.625 1:0.515 2:0.16 3:1.264 4:0.5715 5:0.326 6:0.321 7:1
0 0:0.625 1:0.48 2:0.155 3:1.2035 4:0.5865 5:0.239 6:0.3185 7:1
1 0:0.63 1:0.485 2:0.17 3:1.3205 4:0.5945 5:0.345 6:0.345 7:1
0 0:0.63 1:0.505 2:0.18 3:1.272 4:0.6025 5:0.295 6:0.315 8:1
0 0:0.63 1:0.485 2:0.145 3:1.062 4:0.5065 5:0.1785 6:0.3365 9:1
0 0:0.63 1:0.475 2:0.145 3:1.0605 4:0.5165 5:0.2195 6:0.28 8:1
0 0:0.63 1:0.495 2:0.16 3:1.093 4:0.497 5:0.221 6:0.315 9:1
0 0:0.635 1:0.49 2:0.16 3:1.101 4:0.534 5:0.1865 6:0.3455 9:1
1 0:0.635 1:0.5 2:0.165 3:1.4595 4:0.705 5:0.2645 6:0.39 7:1
1 0:0.635 1:0.495 2:0.175 3:1.211 4:0.707 5:0.2725 6:0.323 7:1
0 0:0.635 1:0.475 2:0.17 3:1.1935 4:0.5205 5:0.2695 6:0.3665 9:1
0 0:0.635 1:0.51 2:0.155 3:0.986 4:0.405 5:0.2255 6:0.31 9:1
0 0:0.64 1:0.5649999999999999 2:0.23 3:1.521 4:0.644 5:0.372 6:0.406 9:1
0 0:0.64 1:0.525 2:0.18 3:1.3135 4:0.4865 5:0.2995 6:0.4075 9:1
0 0:0.645 1:0.51 2:0.16 3:1.1835 4:0.556 5:0.2385 6:0.345 9:1
0 0:0.645 1:0.5 2:0.195 3:1.401 4:0.6165 5:0.3515 6:0.3725 9:1
0 0:0.645 1:0.525 2:0.16 3:1.5075 4:0.7455000000000001 5:0.245 6:0.4325 9:1
0 0:0.65 1:0.505 2:0.165 3:1.16 4:0.4785 5:0.274 6:0.349 7:1
0 0:0.65 1:0.59 2:0.22 3:1.662 4:0.77 5:0.378 6:0.435 7:1
0 0:0.65 1:0.525 2:0.175 3:1.5365 4:0.6865 5:0.3585 6:0.405 9:1
1 0:0.65 1:0.51 2:0.19 3:1.542 4:0.7155 5:0.3735 6:0.375 9:1
0 0:0.65 1:0.51 2:0.17 3:1.567 4:0.7245 5:0.349 6:0.391 7:1
0 0:0.655 1:0.525 2:0.19 3:1.3595 4:0.5639999999999999 5:0.3215 6:0.3985 7:1
0 0:0.655 1:0.535 2:0.205 3:1.6445 4:0.7305 5:0.3595 6:0.46 9:1
0 0:0.655 1:0.52 2:0.19 3:1.4545 4:0.6 5:0.3865 6:0.383 7:1
0 0:0.655 1:0.49 2:0.175 3:1.3585 4:0.6395 5:0.294 6:0.365 9:1
0 0:0.66 1:0.495 2:0.21 3:1.548 4:0.724 5:0.3525 6:0.3925 7:1
0 0:0.66 1:0.515 2:0.17 3:1.337 4:0.615 5:0.3125 6:0.3575 7:1
0 0:0.665 1:0.53 2:0.18 3:1.491 4:0.6345 5:0.342 6:0.435 7:1
0 0:0.67 1:0.53 2:0.225 3:1.5615 4:0.63 5:0.487 6:0.3725 7:1
0 0:0.67 1:0.505 2:0.175 3:1.0145 4:0.4375 5:0.271 6:0.3745 7:1
0 0:0.675 1:0.545 2:0.185 3:1.7375 4:0.876 5:0.3135 6:0.469 9:1
1 0:0.6850000000000001 1:0.545 2:0.205 3:1.7925 4:0.8145 5:0.416 6:0.461 9:1
0 0:0.695 1:0.5649999999999999 2:0.19 3:1.7635 4:0.7465000000000001 5:0.399 6:0.4975 7:1
0 0:0.7 1:0.545 2:0.13 3:1.556 4:0.6725 5:0.374 6:0.195 7:1
0 0:0.705 1:0.5649999999999999 2:0.515 3:2.21 4:1.1075 5:0.4865 6:0.512 9:1
0 0:0.705 1:0.555 2:0.215 3:2.141 4:1.0465 5:0.383 6:0.528 9:1
0 0:0.705 1:0.57 2:0.18 3:1.5345 4:0.96 5:0.4195 6:0.43 7:1
0 0:0.71 1:0.55 2:0.17 3:1.614 4:0.743 5:0.345 6:0.45 7:1
0 0:0.72 1:0.575 2:0.17 3:1.9335 4:0.913 5:0.389 6:0.51 7:1
0 0:0.72 1:0.575 2:0.215 3:2.173 4:0.9515 5:0.5639999999999999 6:0.5365 9:1
0 0:0.725 1:0.6 2:0.2 3:1.737 4:0.697 5:0.3585 6:0.595 7:1
0 0:0.73 1:0.58 2:0.19 3:1.7375 4:0.6785 5:0.4345 6:0.52 7:1
0 0:0.735 1:0.5649999999999999 2:0.205 3:2.1275 4:0.949 5:0.46 6:0.5649999999999999 7:1
1 0:0.745 1:0.57 2:0.215 3:2.25 4:1.1565 5:0.446 6:0.5580000000000001 7:1
0 0:0.75 1:0.61 2:0.235 3:2.5085 4:1.232 5:0.519 6:0.612 7:1
0 0:0.8149999999999999 1:0.65 2:0.25 3:2.255 4:0.8905 5:0.42 6:0.7975 7:1
1 0:0.14 1:0.105 2:0.035 3:0.014 4:0.0055 5:0.0025 6:0.004 8:1
1 0:0.23 1:0.165 2:0.06 3:0.0515 4:0.019 5:0.0145 6:0.036 8:1
1 0:0.365 1:0.265 2:0.135 3:0.2215 4:0.105 5:0.047 6:0.0605 8:1
1 0:0.365 1:0.255 2:0.08 3:0.1985 4:0.0785 5:0.0345 6:0.053 8:1
1 0:0.37 1:0.27 2:0.095 3:0.232 4:0.1325 5:0.041 6:0.0615 8:1
1 0:0.375 1:0.28 2:0.08500000000000001 3:0.3155 4:0.187 5:0.046 6:0.067 8:1
1 0:0.385 1:0.3 2:0.09 3:0.247 4:0.1225 5:0.044 6:0.0675 8:1
1 0:0.395 1:0.295 2:0.09 3:0.3025 4:0.143 5:0.0665 6:0.0765 8:1
1 0:0.4 1:0.29 2:0.11 3:0.329 4:0.188 5:0.0455 6:0.0825 8:1
1 0:0.4 1:0.3 2:0.09 3:0.2815 4:0.1185 5:0.061 6:0.08 8:1
1 0:0.405 1:0.31 2:0.095 3:0.3425 4:0.1785 5:0.064 6:0.08550000000000001 8:1
1 0:0.405 1:0.29 2:0.09 3:0.2825 4:0.112 5:0.075 6:0.0815 8:1
1 0:0.405 1:0.3 2:0.105 3:0.304 4:0.1455 5:0.061 6:0.0805 8:1
1 0:0.41 1:0.32 2:0.095 3:0.2905 4:0.141 5:0.063 6:0.073 8:1
1 0:0.415 1:0.315 2:0.115 3:0.3895 4:0.2015 5:0.065 6:0.103 9:1
1 0:0.425 1:0.34 2:0.105 3:0.389 4:0.2015 5:0.0905 6:0.08799999999999999 8:1
1 0:0.43 1:0.34 2:0.105 3:0.4405 4:0.2385 5:0.0745 6:0.1075 8:1
1 0:0.44 1:0.34 2:0.105 3:0.369 4:0.164 5:0.08 6:0.1015 8:1
1 0:0.44 1:0.32 2:0.12 3:0.4565 4:0.2435 5:0.092 6:0.1025 9:1
1 0:0.44 1:0.365 2:0.11 3:0.4465 4:0.213 5:0.089 6:0.1135 8:1
1 0:0.45 1:0.335 2:0.125 3:0.4475 4:0.2165 5:0.126 6:0.11 9:1
1 0:0.455 1:0.335 2:0.135 3:0.501 4:0.274 5:0.09950000000000001 6:0.1065 8:1
1 0:0.46 1:0.355 2:0.11 3:0.436 4:0.1975 5:0.096 6:0.125 8:1
1 0:0.47 1:0.345 2:0.14 3:0.4615 4:0.229 5:0.1105 6:0.116 8:1
1 0:0.47 1:0.35 2:0.125 3:0.4315 4:0.19 5:0.1165 6:0.1175 8:1
1 0:0.47 1:0.355 2:0.12 3:0.3685 4:0.126 5:0.0835 6:0.1365 8:1
1 0:0.475 1:0.37 2:0.125 3:0.649 4:0.347 5:0.136 6:0.142 9:1
1 0:0.475 1:0.365 2:0.115 3:0.459 4:0.2175 5:0.093 6:0.1165 8:1
1 0:0.475 1:0.365 2:0.115 3:0.5659999999999999 4:0.281 5:0.117 6:0.1335 7:1
1 0:0.48 1:0.36 2:0.125 3:0.542 4:0.2795 5:0.1025 6:0.147 8:1
1 0:0.485 1:0.38 2:0.12 3:0.4725 4:0.2075 5:0.1075 6:0.147 8:1
1 0:0.485 1:0.39 2:0.08500000000000001 3:0.6435 4:0.2945 5:0.103 6:0.198 9:1
1 0:0.485 1:0.37 2:0.13 3:0.526 4:0.2485 5:0.105 6:0.1555 9:1
1 0:0.495 1:0.38 2:0.12 3:0.573 4:0.2655 5:0.1285 6:0.144 7:1
