1 0:-0.17037 1:-0.159664 2:-0.840708 3:-0.769081 4:-0.775387 5:-0.839368 6:-0.839562 7:-1 8:1 9:-1 
1 0:-0.155556 1:-0.092437 2:-0.80531 3:-0.765185 4:-0.768662 5:-0.882818 6:-0.803687 7:-1 8:1 9:-1 
1 0:-0.155556 1:-0.109244 2:-0.823009 3:-0.785019 4:-0.831876 5:-0.843318 6:-0.791729 7:-1 8:1 9:-1 
1 0:-0.155556 1:-0.142857 2:-0.840708 3:-0.788206 4:-0.815064 5:-0.830151 6:-0.843548 7:-1 8:1 9:-1 
1 0:-0.140741 1:-0.0420168 2:-1 3:-0.698247 4:-0.723605 5:-0.774852 6:-0.773792 7:-1 8:1 9:-1 
1 0:-0.140741 1:-0.12605 2:-0.831858 3:-0.733664 4:-0.765972 5:-0.790652 6:-0.794718 7:-1 8:1 9:-1 
1 0:-0.125926 1:-0.12605 2:-0.80531 3:-0.740393 4:-0.784129 5:-0.813035 6:-0.763827 7:-1 8:1 9:-1 
1 0:-0.111111 1:-0.0420168 2:-0.787611 3:-0.691163 4:-0.71688 5:-0.782752 6:-0.763827 7:-1 8:1 9:-1 
1 0:-0.0814815 1:-0.0756303 2:-0.814159 3:-0.68408 4:-0.721587 5:-0.766952 6:-0.763827 7:-1 8:1 9:-1 
1 0:-0.0666667 1:-0.0252101 2:-0.814159 3:-0.717726 4:-0.780767 5:-0.802502 6:-0.751868 7:-1 8:1 9:-1 
1 0:-0.0666667 1:0.0420168 2:-0.79646 3:-0.696476 4:-0.753867 5:-0.716919 6:-0.754858 7:1 8:-1 9:-1 
1 0:-0.0666667 1:-0.0756303 2:-0.823009 3:-0.737914 4:-0.519839 5:-0.797235 6:-0.783757 7:-1 8:1 9:-1 
1 0:-0.0518519 1:0.0252101 2:-0.814159 3:-0.67133 4:-0.702085 5:-0.740619 6:-0.783757 7:-1 8:1 9:-1 
1 0:-0.0518519 1:-0.00840336 2:-0.814159 3:-0.738976 4:-0.789509 5:-0.798552 6:-0.775785 7:-1 8:1 9:-1 
1 0:-0.0518519 1:0.0420168 2:-0.778761 3:-0.662476 4:-0.724277 5:-0.726136 6:-0.721973 7:1 8:-1 9:-1 
0 0:-0.037037 1:-0.0420168 2:-0.80531 3:-0.756331 4:-0.809684 5:-0.809085 6:-0.777778 7:-1 8:1 9:-1 
1 0:-0.0222222 1:0.0420168 2:-0.823009 3:-0.710289 4:-0.765972 5:-0.776169 6:-0.733931 7:-1 8:1 9:-1 
1 0:-0.0222222 1:0.00840336 2:-0.681416 3:-0.661413 4:-0.72495 5:-0.724819 6:-0.703039 7:-1 8:1 9:-1 
1 0:-0.0222222 1:0.00840336 2:-0.787611 3:-0.723039 4:-0.776732 5:-0.768269 6:-0.773792 7:-1 8:1 9:-1 
1 0:-0.00740741 1:0.00840336 2:-0.823009 3:-0.644767 4:-0.66039 5:-0.761685 6:-0.723966 7:-1 8:1 9:-1 
